model,checkpoint,task,success,error,cached,predictions_file,num_predictions,accuracy,correct,total
LLM360/Amber,ckpt_000,simple_icl_singular_to_plural,True,,True,results/amber/Amber_ckpt_000/LLM360_Amber_ckpt_000_simple_icl_singular_to_plural_detailed.jsonl,165,0.0,0,165
LLM360/Amber,ckpt_032,simple_icl_singular_to_plural,True,,True,results/amber/Amber_ckpt_032/LLM360_Amber_ckpt_032_simple_icl_singular_to_plural_detailed.jsonl,165,0.9151515151515152,151,165
LLM360/Amber,ckpt_065,simple_icl_singular_to_plural,True,,True,results/amber/Amber_ckpt_065/LLM360_Amber_ckpt_065_simple_icl_singular_to_plural_detailed.jsonl,165,0.9212121212121213,152,165
LLM360/Amber,ckpt_097,simple_icl_singular_to_plural,True,,True,results/amber/Amber_ckpt_097/LLM360_Amber_ckpt_097_simple_icl_singular_to_plural_detailed.jsonl,165,0.9515151515151515,157,165
LLM360/Amber,ckpt_130,simple_icl_singular_to_plural,True,,True,results/amber/Amber_ckpt_130/LLM360_Amber_ckpt_130_simple_icl_singular_to_plural_detailed.jsonl,165,0.9454545454545454,156,165
LLM360/Amber,ckpt_163,simple_icl_singular_to_plural,True,,True,results/amber/Amber_ckpt_163/LLM360_Amber_ckpt_163_simple_icl_singular_to_plural_detailed.jsonl,165,0.9515151515151515,157,165
LLM360/Amber,ckpt_195,simple_icl_singular_to_plural,True,,True,results/amber/Amber_ckpt_195/LLM360_Amber_ckpt_195_simple_icl_singular_to_plural_detailed.jsonl,165,0.9454545454545454,156,165
LLM360/Amber,ckpt_228,simple_icl_singular_to_plural,True,,True,results/amber/Amber_ckpt_228/LLM360_Amber_ckpt_228_simple_icl_singular_to_plural_detailed.jsonl,165,0.9575757575757575,158,165
LLM360/Amber,ckpt_261,simple_icl_singular_to_plural,True,,True,results/amber/Amber_ckpt_261/LLM360_Amber_ckpt_261_simple_icl_singular_to_plural_detailed.jsonl,165,0.9515151515151515,157,165
LLM360/Amber,ckpt_293,simple_icl_singular_to_plural,True,,True,results/amber/Amber_ckpt_293/LLM360_Amber_ckpt_293_simple_icl_singular_to_plural_detailed.jsonl,165,0.9454545454545454,156,165
LLM360/Amber,ckpt_326,simple_icl_singular_to_plural,True,,True,results/amber/Amber_ckpt_326/LLM360_Amber_ckpt_326_simple_icl_singular_to_plural_detailed.jsonl,165,0.9454545454545454,156,165
LLM360/Amber,ckpt_358,simple_icl_singular_to_plural,True,,True,results/amber/Amber_ckpt_358/LLM360_Amber_ckpt_358_simple_icl_singular_to_plural_detailed.jsonl,165,0.9272727272727272,153,165
LLM360/Amber,main,simple_icl_singular_to_plural,True,,True,results/amber/Amber_main/LLM360_Amber_main_simple_icl_singular_to_plural_detailed.jsonl,165,0.9212121212121213,152,165
